,Hubert_spkAcc,Hubert_phAcc,Hubert_ABXWithin_orig,Hubert_ABXAcross_orig,Hubert_ABXWithin_coll,Hubert_ABXAcross_coll,Wav2Vec2_spkAcc,Wav2Vec2_phAcc,Wav2Vec2_ABXWithin_orig,Wav2Vec2_ABXAcross_orig,Wav2Vec2_ABXWithin_coll,Wav2Vec2_ABXAcross_coll,WavLM_spkAcc,WavLM_phAcc,WavLM_ABXWithin_orig,WavLM_ABXAcross_orig,Data2Vec_spkAcc,Data2Vec_phAcc,Data2Vec_ABXWithin_orig,Data2Vec_ABXAcross_orig,Wav2Vec2Rand_spkAcc,Wav2Vec2Rand_phAcc,Wav2Vec2Rand_ABXWithin_orig,Wav2Vec2Rand_ABXAcross_orig
0,0.9164092776,0.6333054552999999,0.0764329806,0.1374743134,0.08341001719,0.1340417713,0.884889122586202,0.674901046669538,0.0718290954828262,0.111486390233039,0.078512355685234,0.113127179443836,0.9485960219933093,0.6124652214236039,0.08382444084,0.1447392702,0.97195563247,0.7490166772,0.06202882528,0.08802675456,0.19305836180000002,0.3002384817,0.3946178257,0.4326387644
1,0.98215527807,0.6829953463,0.06668266654,0.1015084088,0.06520089507,0.1006729975,0.97066385678,0.7055310357,0.06560692191,0.09428881109,0.06716049463,0.0960303396,0.993969643271,0.6557169355,0.06569061428,0.1062911153,0.93078442251,0.7763758239,0.05270438641,0.06881316006,0.2708091815,0.300269534,0.3944064677,0.4328234196
2,0.99266958697,0.7044773277,0.06082583964,0.08969490975,0.06135801226,0.08864422888,0.9606588056,0.7486647511,0.05669685453,0.07804498821,0.05795702338,0.07915062457,0.98911513365,0.7031379385000001,0.05665300041,0.08283211291,0.7263050247,0.7886518333,0.04907656088,0.05995331332,0.3263576066,0.29936280680000005,0.396753788,0.4327721596
3,0.97098473055,0.7326914478,0.05685878173,0.07924123853,0.05706955492,0.0781037733,0.94861672353,0.7756243583,0.05053506792,0.06700283289,0.05184054747,0.06781940162,0.9663952005600001,0.7473295021999999,0.0459898524,0.06586640328,0.5512404359,0.8222338611,0.04556273669,0.05357419699,0.3731016694,0.29745205519999995,0.399558723,0.4351845682
4,0.95017968931,0.7594730218,0.05317520723,0.07141915709,0.0539527759,0.07236102968,0.91012222185,0.8138104071,0.04283445328,0.05311453715,0.04260997102,0.05273165181,0.92959615448,0.7910573515,0.04022695497,0.05263219774,0.3809537611,0.8417554072,0.04129147157,0.04523093626,0.41325022359999997,0.29832358979999996,0.4014674723,0.4345526695
5,0.8783702097,0.8042276671999999,0.04380495846,0.05680241436,0.04416596144,0.05677803606,0.7456506078,0.8417491967999999,0.03545697406,0.04269237444,0.03542399779,0.04250412434,0.91181974761,0.8109287536,0.03585242853,0.04548057541,0.37695422479999996,0.8455831208,0.04418705404,0.04571742564,0.45037635389999997,0.29722433839999995,0.3998481333,0.4340496957
6,0.8077738399000001,0.8301584081,0.03947188333,0.04884496331,0.04009819,0.04872245342,0.6781615382,0.8508268193,0.03637541458,0.04187518731,0.03667156398,0.0417871736,0.7684823292,0.8346154483,0.03266646713,0.03931812197,0.38579377960000005,0.8438400517,0.05148099735,0.05623854697,0.47928811569999996,0.2951252029,0.402402401,0.4370580018
7,0.7171363155,0.8464443046,0.03618462384,0.04285564274,0.03621472418,0.04283726588,0.647529479,0.854913302,0.04644011334,0.05084348097,0.04648945481,0.05041604117,0.6708808089,0.8484730549,0.03316893801,0.03873182461,0.3430099202,0.8477919744,0.05823854357,0.06490629911,0.5109304097,0.29466355870000005,0.4015688598,0.434507668
8,0.6784472194,0.8529859892,0.03863652423,0.04538144916,0.04014683142,0.04547472671,0.566590623,0.856277533,0.05145351589,0.05795898288,0.0522660464,0.05862045661,0.5769144777999999,0.8517583883,0.03454551101,0.04085692018,0.32803443080000005,0.8528721308,0.06166815013,0.06912340969,0.5361490179,0.2935891491,0.4036723375,0.4348029494
9,0.7081456394000001,0.8550809844,0.03949439153,0.04701693729,0.04136943445,0.04828214645,0.5141225862000001,0.859935494,0.04687844589,0.05244945362,0.04666752741,0.05184764788,0.617561939,0.8548822497,0.03996087611,0.0468544811,0.36053583850000004,0.8548367063,0.06212484837,0.06890466809,0.5658246663,0.2928004207,0.4015717506,0.4358183742
10,0.7626631281,0.8625066245,0.03471379727,0.04150700197,0.0352688767,0.04102693126,0.3751842436,0.8492079593,0.0549697578,0.06371511519,0.05091974884,0.05796804652,0.6560315988000001,0.8616682124,0.03826215491,0.04400106147,0.34332251329999997,0.847233033,0.06325359643,0.07464165241,0.5902504058,0.2912560863,0.4022323191,0.4352541566
11,0.7803215362,0.8654746816,0.03063130379,0.03699376062,0.02945891023,0.03523737937,0.10684268490000004,0.7263257262,0.08856942505,0.1096670181,0.07858712971,0.09424107522,0.6060932894,0.8692180617,0.0383069925,0.0460790582,0.2733182074,0.8224781392,0.07469475269,0.08744841069,0.6125500977,0.29016925569999996,0.4032239616,0.4360683858
12,0.96623993906,0.8521413666,0.03382537141,0.04086729512,0.03127399832,0.03712584451,0.321287801,0.7261145705700001,0.07740259171,0.09157928824,0.06401409954,0.07322579622,0.8432293564,0.8636452088,0.03269165382,0.03797454014,0.3984217151,0.7663811235,0.08999360353,0.1106439903,0.6321420291,0.2896289457,0.4029581249,0.4344502389
